employee_id,first_name,middle_name,last_name,preferred_name,email,phone,mobile_phone,date_of_birth,age,gender,race,ethnicity,veteran_status,disability_status,marital_status,hire_date,original_hire_date,tenure_years,tenure_months,employment_status,employment_type,job_title,job_code,job_family,job_sub_family,job_function,job_level,salary,hourly_rate,pay_frequency,pay_type,pay_grade,currency,fte,standard_hours,overtime_eligible,department,division,business_unit,cost_center,location,city,state,country,country_code,zip_code,office,work_location_type,remote_status,manager_id,manager_name,manager_email,reports_count,span_of_control,org_level,dotted_line_manager_id,performance_rating,performance_score,last_review_date,next_review_date,promotion_eligible,flight_risk,regrettable_loss_risk,skill_level,benefits_status,pto_balance,sick_balance,leave_accrual_rate,insurance_plan,retirement_plan,401k_contribution_pct,work_authorization,visa_type,visa_expiration,i9_status,background_check_status,drug_test_status,employee_number,badge_id,start_date,termination_date,termination_reason,rehire_eligible,last_promotion_date,time_in_role_months,previous_title,education_level
E300010,Mary,,Johnson,Mary,mary.johnson@financecorp.com,(276) 285-2723,(434) 922-9863,1983-10-23,30,Female,Asian,Not Hispanic,Not a Veteran,No,Married,2025-03-28,2025-03-28,0,10,Active,Full-time,Credit Analyst,FIN7735,Finance,Investment Banking,Credit,IC1,93400,44.9,Biweekly,Salary,G11,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-902,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300007,Richard Thompson,richard.thompson@financecorp.com,0,0,7,,Meets Expectations,4,2025-12-26,2026-06-17,Yes,Low,Low,Advanced,Enrolled,193,31,7.33 hours per pay period,PPO Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300010,BADGE3010,2025-03-28,,,Yes,,8,,Bachelor's
E300011,Mary,J,Williams,Mary,mary.williams@financecorp.com,(512) 963-7404,(376) 673-9773,1996-10-14,47,Female,White,Not Hispanic,Not a Veteran,No,Married,2020-01-09,2020-01-09,6,74,Active,Full-time,Tax Specialist,FIN4815,Finance,Accounting,Tax,IC3,86449,41.56,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-206,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300000,Richard Thompson,richard.thompson@financecorp.com,0,0,4,,Meets Expectations,4,2025-05-11,2026-03-29,Yes,Low,Medium,Advanced,Enrolled,185,48,7.33 hours per pay period,HDHP Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300011,BADGE3011,2020-01-09,,,Yes,2021-09-16,34,Associate,MBA
E300012,Robert,,Brown,Robert,robert.brown@financecorp.com,(951) 909-8353,(209) 958-7719,1994-06-29,55,Male,Asian,Not Hispanic,Not a Veteran,No,Married,2021-02-03,2021-02-03,5,61,Active,Full-time,Portfolio Manager,FIN1918,Finance,Accounting,Portfolio,IC4,122512,58.9,Biweekly,Salary,G7,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-280,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,Hybrid,E300010,Richard Thompson,richard.thompson@financecorp.com,2,7,7,,Needs Improvement,4,2025-08-18,2026-08-12,No,Low,High,Expert,Enrolled,115,79,7.33 hours per pay period,HDHP Plan,401k,8,US Citizen,,,Verified,Cleared,Passed,EN300012,BADGE3012,2021-02-03,,,Yes,2024-09-02,22,Analyst,Master's
E300013,Elizabeth,,Jones,Elizabeth,elizabeth.jones@financecorp.com,(658) 292-5315,(299) 357-1796,2000-05-05,39,Male,Black,Hispanic,Not a Veteran,No,Married,2024-11-19,2024-11-19,1,15,Active,Full-time,Treasury Analyst,FIN9859,Finance,Investment Banking,Treasury,IC1,61648,29.64,Biweekly,Salary,G9,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-706,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300010,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Needs Improvement,5,2025-08-12,2026-07-31,Yes,Medium,Medium,Intermediate,Enrolled,64,70,7.33 hours per pay period,PPO Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300013,BADGE3013,2024-11-19,,,Yes,,5,,Bachelor's
E300014,John,M,Miller,John,john.miller@financecorp.com,(392) 445-8667,(211) 703-2136,1987-03-08,38,Female,Hispanic,Not Hispanic,Not a Veteran,No,Married,2025-05-30,2025-05-30,0,8,Active,Full-time,Tax Specialist,FIN3445,Finance,Accounting,Tax,IC4,109001,52.4,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-243,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300010,Richard Thompson,richard.thompson@financecorp.com,0,0,4,,Needs Improvement,4,2025-04-29,2026-07-09,No,Low,Low,Intermediate,Enrolled,68,57,7.33 hours per pay period,PPO Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300014,BADGE3014,2025-05-30,,,Yes,,4,,PhD
E300015,Elizabeth,R,Williams,Elizabeth,elizabeth.williams@financecorp.com,(553) 780-4513,(632) 907-1708,1987-07-02,57,Female,Hispanic,Hispanic,Not a Veteran,No,Married,2020-05-25,2020-05-25,5,69,Active,Full-time,CFO,FIN5365,Finance,Accounting,CFO,M1,387988,186.53,Biweekly,Salary,G7,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-921,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,E300001,Richard Thompson,richard.thompson@financecorp.com,0,0,6,,Meets Expectations,4,2025-10-24,2026-04-13,Yes,Low,Medium,Intermediate,Enrolled,91,39,7.33 hours per pay period,PPO Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300015,BADGE3015,2020-05-25,,,Yes,2024-05-01,65,Associate,Master's
E300016,James,M,Jones,James,james.jones@financecorp.com,(714) 615-4275,(588) 208-8744,2000-09-23,40,Male,White,Not Hispanic,Not a Veteran,No,Married,2016-05-15,2016-05-15,9,118,Active,Full-time,Financial Analyst,FIN4721,Finance,Investment Banking,Financial,IC1,84894,40.81,Biweekly,Salary,G7,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-934,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300016,Richard Thompson,richard.thompson@financecorp.com,0,0,7,,Meets Expectations,5,2025-08-30,2026-07-25,Yes,Low,Low,Intermediate,Enrolled,140,61,7.33 hours per pay period,HDHP Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300016,BADGE3016,2016-05-15,,,Yes,2018-10-26,90,Associate,Bachelor's
E300017,James,,Wilson,James,james.wilson@financecorp.com,(348) 423-3742,(251) 304-3931,1978-06-14,36,Female,White,Hispanic,Not a Veteran,No,Married,2018-10-13,2018-10-13,7,89,Active,Full-time,Senior Accountant,FIN1138,Finance,Accounting,Senior,IC2,96955,46.61,Biweekly,Salary,G12,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-329,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300015,Richard Thompson,richard.thompson@financecorp.com,0,0,6,,Exceeds Expectations,5,2025-05-27,2026-07-16,No,Medium,Low,Advanced,Enrolled,95,57,7.33 hours per pay period,HDHP Plan,401k,4,US Citizen,,,Verified,Cleared,Passed,EN300017,BADGE3017,2018-10-13,,,Yes,2019-10-30,9,,Master's
E300018,Linda,R,Brown,Linda,linda.brown@financecorp.com,(691) 772-8187,(797) 720-2491,1998-04-21,37,Male,Hispanic,Not Hispanic,Not a Veteran,No,Married,2018-06-30,2018-06-30,7,92,Active,Full-time,VP Finance,FIN6926,Finance,Accounting,VP,IC5,242473,116.57,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-489,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,E300017,Richard Thompson,richard.thompson@financecorp.com,1,0,3,,Meets Expectations,4,2025-09-15,2026-07-13,Yes,Low,High,Expert,Enrolled,100,64,7.33 hours per pay period,PPO Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300018,BADGE3018,2018-06-30,,,Yes,2020-04-16,2,Analyst,Bachelor's
E300019,John,,Miller,John,john.miller@financecorp.com,(612) 731-1991,(872) 413-3323,2000-01-11,51,Male,Black,Not Hispanic,Not a Veteran,No,Divorced,2023-06-21,2023-06-21,2,32,Active,Full-time,Audit Manager,FIN3681,Finance,Accounting,Audit,IC1,102970,49.5,Biweekly,Salary,G10,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-681,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300008,Richard Thompson,richard.thompson@financecorp.com,3,8,3,,Meets Expectations,4,2025-09-07,2026-07-28,Yes,High,Medium,Advanced,Enrolled,159,78,7.33 hours per pay period,PPO Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300019,BADGE3019,2023-06-21,,,Yes,,12,,PhD
E300020,Jennifer,,Davis,Jennifer,jennifer.davis@financecorp.com,(401) 974-4038,(578) 279-4120,1997-02-20,44,Male,White,Not Hispanic,Not a Veteran,No,Divorced,2021-08-30,2021-08-30,4,54,Active,Full-time,Investment Banker,FIN5356,Finance,Investment Banking,Investment,IC4,146555,70.46,Biweekly,Salary,G11,USD,1.0,40,No,Investment Banking,Corporate Finance,Investment Services,CC-FIN-776,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,E300012,Richard Thompson,richard.thompson@financecorp.com,0,0,8,,Exceeds Expectations,5,2025-12-08,2026-04-25,Yes,Medium,Medium,Intermediate,Enrolled,168,30,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300020,BADGE3020,2021-08-30,,,Yes,2022-12-24,39,,Master's
E300021,Elizabeth,,Brown,Elizabeth,elizabeth.brown@financecorp.com,(964) 244-4680,(302) 229-6613,1997-04-12,41,Male,Hispanic,Not Hispanic,Not a Veteran,No,Married,2020-09-08,2020-09-08,5,66,Active,Full-time,Relationship Manager,FIN4200,Finance,Accounting,Relationship,IC3,106597,51.25,Biweekly,Salary,G10,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-802,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300011,Richard Thompson,richard.thompson@financecorp.com,2,5,8,,Exceeds Expectations,3,2025-06-03,2026-04-04,Yes,Low,Medium,Intermediate,Enrolled,124,74,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300021,BADGE3021,2020-09-08,,,Yes,2024-08-04,58,Associate,PhD
E300022,James,,Wilson,James,james.wilson@financecorp.com,(219) 902-5968,(251) 640-4762,1985-04-17,44,Female,Black,Not Hispanic,Not a Veteran,No,Single,2019-11-29,2019-11-29,6,75,Active,Full-time,Tax Specialist,FIN5982,Finance,Accounting,Tax,IC2,91003,43.75,Biweekly,Salary,G8,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-359,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300007,Richard Thompson,richard.thompson@financecorp.com,0,0,8,,Meets Expectations,4,2025-04-12,2026-05-02,No,Low,Medium,Expert,Enrolled,159,52,7.33 hours per pay period,HDHP Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300022,BADGE3022,2019-11-29,,,Yes,2022-04-04,18,,Bachelor's
E300023,Robert,,Miller,Robert,robert.miller@financecorp.com,(317) 902-1611,(704) 441-5585,1977-10-28,50,Female,Black,Not Hispanic,Not a Veteran,No,Divorced,2018-08-20,2018-08-20,7,91,Active,Full-time,Senior Accountant,FIN5484,Finance,Accounting,Senior,E1,71675,34.46,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-610,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300019,Richard Thompson,richard.thompson@financecorp.com,0,0,4,,Meets Expectations,4,2025-03-02,2026-05-20,Yes,Medium,High,Intermediate,Enrolled,95,41,7.33 hours per pay period,HDHP Plan,401k,8,US Citizen,,,Verified,Cleared,Passed,EN300023,BADGE3023,2018-08-20,,,Yes,2020-02-08,5,,MBA
E300024,Linda,,Johnson,Linda,linda.johnson@financecorp.com,(303) 716-3881,(773) 412-8767,1996-08-13,57,Male,White,Not Hispanic,Not a Veteran,No,Single,2020-11-16,2020-11-16,5,63,Active,Full-time,Wealth Advisor,FIN9079,Finance,Accounting,Wealth,IC2,82871,39.84,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-680,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,E300004,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Meets Expectations,4,2025-10-03,2026-06-02,Yes,Medium,High,Expert,Enrolled,179,53,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300024,BADGE3024,2020-11-16,,,Yes,2022-04-24,21,,Master's
E300025,Elizabeth,,Williams,Elizabeth,elizabeth.williams@financecorp.com,(826) 844-9037,(220) 300-3705,1998-11-12,54,Male,White,Not Hispanic,Not a Veteran,No,Married,2017-12-11,2017-12-11,8,99,Active,Full-time,Operations Associate,FIN8001,Finance,Accounting,Operations,IC5,89733,43.14,Biweekly,Salary,G12,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-950,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,Hybrid,E300011,Richard Thompson,richard.thompson@financecorp.com,0,0,3,,Meets Expectations,5,2025-02-18,2026-08-01,No,Medium,Medium,Intermediate,Enrolled,161,32,7.33 hours per pay period,PPO Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300025,BADGE3025,2017-12-11,,,Yes,2021-04-17,28,,Master's
E300026,James,,Davis,James,james.davis@financecorp.com,(606) 870-2730,(403) 721-5820,1986-02-10,33,Male,Asian,Not Hispanic,Not a Veteran,No,Married,2022-03-04,2022-03-04,3,48,Active,Full-time,Controller,FIN1438,Finance,Accounting,Controller,E1,68883,33.12,Biweekly,Salary,G6,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-689,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,E300000,Richard Thompson,richard.thompson@financecorp.com,0,0,3,,Needs Improvement,4,2025-05-30,2026-04-15,Yes,Medium,Low,Advanced,Enrolled,168,48,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300026,BADGE3026,2022-03-04,,,Yes,2024-01-02,2,,PhD
E300027,James,,Anderson,James,james.anderson@financecorp.com,(997) 316-4876,(619) 700-6393,1996-08-20,44,Female,White,Hispanic,Not a Veteran,No,Married,2017-11-21,2017-11-21,8,100,Active,Full-time,Financial Analyst,FIN2144,Finance,Investment Banking,Financial,E1,75707,36.4,Biweekly,Salary,G7,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-512,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300015,Richard Thompson,richard.thompson@financecorp.com,0,0,3,,Exceeds Expectations,3,2025-08-07,2026-06-03,Yes,Low,High,Advanced,Enrolled,93,75,7.33 hours per pay period,HDHP Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300027,BADGE3027,2017-11-21,,,Yes,2021-03-31,79,Analyst,Master's
E300028,Mary,C,Williams,Mary,mary.williams@financecorp.com,(609) 955-7495,(416) 363-2285,1977-12-06,52,Male,Asian,Not Hispanic,Not a Veteran,No,Married,2018-11-22,2018-11-22,7,88,Active,Full-time,Client Services Rep,FIN2826,Finance,Accounting,Client,M2,109749,52.76,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-879,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,E300023,Richard Thompson,richard.thompson@financecorp.com,0,0,3,,Meets Expectations,3,2025-11-03,2026-05-15,No,Medium,Medium,Advanced,Enrolled,93,64,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300028,BADGE3028,2018-11-22,,,Yes,2020-11-30,38,Analyst,Bachelor's
E300029,Linda,,Anderson,Linda,linda.anderson@financecorp.com,(664) 903-3627,(516) 774-8430,1978-11-07,27,Male,Hispanic,Not Hispanic,Not a Veteran,No,Divorced,2017-12-09,2017-12-09,8,99,Active,Full-time,Accountant,FIN5196,Finance,Accounting,Accountant,IC2,81776,39.32,Biweekly,Salary,G7,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-520,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300025,Richard Thompson,richard.thompson@financecorp.com,0,0,8,,Meets Expectations,4,2025-10-07,2026-05-31,Yes,Low,High,Expert,Enrolled,71,52,7.33 hours per pay period,PPO Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300029,BADGE3029,2017-12-09,,,Yes,2021-10-04,87,,Bachelor's
E300030,William,,Smith,William,william.smith@financecorp.com,(607) 997-4851,(583) 880-7454,1981-08-08,36,Female,Asian,Not Hispanic,Not a Veteran,No,Married,2024-09-27,2024-09-27,1,16,Active,Full-time,VP Finance,FIN5507,Finance,Accounting,VP,IC1,222620,107.03,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-398,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300023,Richard Thompson,richard.thompson@financecorp.com,0,0,8,,Exceeds Expectations,3,2025-07-25,2026-03-21,No,Low,High,Expert,Enrolled,106,52,7.33 hours per pay period,HDHP Plan,401k,8,US Citizen,,,Verified,Cleared,Passed,EN300030,BADGE3030,2024-09-27,,,Yes,,2,,MBA
E300031,Mary,,Williams,Mary,mary.williams@financecorp.com,(944) 481-8606,(247) 536-4652,1990-08-18,53,Female,Asian,Hispanic,Not a Veteran,No,Married,2018-05-30,2018-05-30,7,93,Active,Full-time,VP Finance,FIN1384,Finance,Accounting,VP,M1,226413,108.85,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-855,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,E300009,Richard Thompson,richard.thompson@financecorp.com,4,0,3,,Needs Improvement,3,2025-02-26,2026-04-23,Yes,Medium,Medium,Advanced,Enrolled,184,51,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300031,BADGE3031,2018-05-30,,,Yes,2022-05-22,30,Analyst,PhD
